Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
healthy dinner recipes for two,Informational,74000,"0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.04,0.09,0.24,1.00,0.44",35,0.15,0.53,"AI Overview, Video, Recipes, Related searches",145
easy dinner recipes for two,Informational,8100,"1.00,1.00,0.54,0.81,1.00,0.67,1.00,0.44,0.81,0.67,0.67,0.81",33,0.16,0.51,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",134
dinner recipes for two,Informational,5400,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.81,0.67,0.67",27,0.13,0.52,"Sitelinks, Video, Short videos, Recipes, Related searches",129
dinner for two recipes,Informational,3600,"0.36,0.36,0.44,0.82,0.44,0.55,0.44,0.36,0.67,0.67,1.00,0.82",33,0.13,0.52,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",134
easy recipes for two,Informational,2400,"0.20,0.65,0.43,0.43,0.43,1.00,1.00,0.81,1.00,0.29,0.29,0.22",31,0.17,0.47,"AI Overview, Video, People also ask, Recipes, Related searches",129
recipes for two,Informational,1900,"0.85,0.85,0.85,1.00,1.00,1.00,1.00,1.00,0.68,1.00,0.85,0.85",28,0.15,0.42,"Sitelinks, Video, Recipes, Related searches",131
crockpot recipes for two,Informational,1300,"0.37,0.37,0.68,0.52,0.68,0.85,1.00,0.85,0.85,1.00,0.85,0.52",33,0.11,0.88,"Sitelinks, Video, People also ask, Recipes, Related searches",125
quick and easy dinner recipes for two,Informational,1000,"0.10,0.55,0.13,0.20,0.81,1.00,0.81,0.81,0.62,1.00,0.81,1.00",31,0.17,0.52,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",132
recipes for two people,Informational,880,"0.36,0.55,0.16,0.55,1.00,0.81,0.36,0.45,0.62,1.00,0.62,0.62",32,0.30,0.93,"Sitelinks, Image, Video, Video carousel, Recipes, Related searches",132
crock pot recipes for two,Informational,590,"0.29,0.29,0.24,0.09,1.00,0.82,0.82,0.82,1.00,0.65,0.65,0.24",27,0.11,0.88,"Sitelinks, Video, People also ask, Recipes",128
quick dinner recipes for two,Informational,590,"0.59,0.39,0.59,0.48,0.72,0.48,0.72,0.48,0.48,1.00,0.59,0.48",30,0.14,0.53,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",136
cooking for two recipes,Informational,480,"0.44,0.66,0.54,0.66,0.81,0.81,1.00,0.81,0.66,0.81,0.66,0.81",27,0.16,0.72,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches, Ads top, Ads bottom",128
easy healthy dinner recipes for two,Informational,480,"0.24,0.54,0.29,0.29,0.29,1.00,0.54,0.24,0.37,0.37,0.76,0.54",23,0.43,0.50,"AI Overview, Image, Video, People also ask, Recipes, Related searches",619000000
chicken recipes for two,Informational,390,"0.80,1.00,0.80,0.64,0.80,0.80,0.64,0.80,0.52,1.00,0.80,1.00",27,0.12,0.47,"Video, Video carousel, Recipes, Related searches",113
easy dinner for two recipes,Informational,390,"0.01,0.01,0.03,0.03,0.01,0.01,0.03,0.01,1.00,0.08,0.03,0.02",23,0.16,0.51,"Sitelinks, AI Overview, Video, Video carousel, Recipes, Related searches",134
healthy recipes for two,Informational,390,"0.29,0.44,0.44,0.66,0.54,0.54,1.00,0.54,0.23,0.36,0.29,0.29",32,0.80,0.63,"AI Overview, Image, Video, Recipes, Related searches",1170000000
healthy easy dinner recipes for two,Informational,320,"0.67,0.67,0.82,0.67,0.82,0.67,0.67,0.55,0.44,1.00,0.82,1.00",32,0.43,0.50,"AI Overview, Image, Video, Video carousel, Recipes, Related searches",610000000
recipes for dinner for two,Informational,320,"0.19,0.15,0.56,1.00,0.15,0.09,0.04,0.15,0.09,0.06,0.15,0.04",37,0.12,0.59,"AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",702000000
simple dinner recipes for two,Informational,210,"0.05,0.16,0.08,0.16,1.00,0.00,0.00,0.00,0.03,0.08,0.05,0.04",23,0.16,0.51,"Sitelinks, AI Overview, Image, Video, Short videos, Recipes, Related searches, Ads bottom",147
dinner recipes for two healthy,Informational,90,"0.03,0.03,0.03,0.08,1.00,0.36,0.06,0.03,0.00,0.00,0.00,0.00",17,0.15,0.53,"AI Overview, Video, Video carousel, Recipes, Related searches",160
date night dinner recipes for two,Informational,40,"0.45,0.63,0.45,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.36",29,0.06,0.47,"AI Overview, Video, Recipes, Related searches",154
fast and easy dinner recipes for two,Informational,40,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",29,0.24,0.62,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",563000000
mini crockpot recipes for two,,30,"0.20,0.59,0.59,0.80,1.00,0.59,0.20,0.20,0.80,0.59,1.00,0.20",,0.15,0.41,,
easy dinner recipes for two healthy,,20,"0.25,0.00,0.50,1.00,0.50,0.25,0.25,0.50,0.25,0.25,0.50,0.25",,0.20,0.52,,
small casserole recipes for two,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.19,0.10,,
small crockpot recipes for two,,20,"0.00,0.00,0.00,0.00,0.00,0.36,0.18,0.18,0.27,1.00,0.00,0.00",,0.11,0.59,,
