Problème,Validation,Éléments
"Vous devez indiquer ""image"" ou ""video"" (dans ""recipeInstructions"")",Non commencé,11
"Champ ""url"" manquant (dans ""recipeInstructions"")",Non commencé,11
"Champ ""video"" manquant",Non commencé,11
"Champ ""aggregateRating"" manquant",Non commencé,9
"Champ ""recipeCuisine"" manquant",Non commencé,7
"Champ ""nutrition"" manquant",Non commencé,4
"Champ ""recipeCategory"" manquant",Non commencé,3
"Longueur de chaîne non valide dans le champ ""recipeIngredient""",Non commencé,2
"Champ ""author"" manquant",Non commencé,2
"Champ ""prepTime"" manquant",Non commencé,1
"Champ ""cookTime"" manquant",Non commencé,1
"Champ ""recipeInstructions"" manquant",Sans objet,0
"Champ ""recipeIngredient"" manquant",Sans objet,0
"Champ ""description"" manquant",Sans objet,0
