Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
easy playdough recipe without cream of tartar,Informational,1300,"0.04,0.05,0.20,0.24,0.52,0.66,0.03,0.05,0.66,1.00,0.80,0.66",17,2.04,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",122
apple crisp recipe easy without oatmeal,Informational,720,"0.54,0.66,0.04,0.08,0.07,0.36,0.20,0.08,1.00,0.24,0.41,0.20",15,0.47,0.02,"Sitelinks, AI Overview, Video, Video carousel, Recipes",144
easy recipe for paneer,Informational,720,"0.76,0.76,0.08,0.55,0.76,1.00,0.00,0.00,0.76,0.76,0.00,0.00",13,4.01,0.00,"AI Overview, Image, Video, Video carousel, Short videos, Recipes, Related searches",24800000
easy recipe of paneer,Informational,720,"0.76,0.76,0.08,0.55,0.76,1.00,0.00,0.00,0.76,0.76,0.00,0.00",16,4.01,0.00,"AI Overview, Image, Video, Video carousel, Short videos, Recipes, Related searches",25300000
easy low fodmap recipes,Informational,590,"0.67,0.83,0.83,0.83,0.83,1.00,0.83,0.67,1.00,0.83,0.83,0.83",8,0.66,0.88,"Image, Video, Recipes, Discussions and forums, Related searches",196
easy spicy margarita recipe,Informational,590,"1.00,0.72,0.88,0.59,0.39,0.39,0.39,0.47,0.39,0.39,0.39,0.59",16,0.85,0.61,"AI Overview, Video, Video carousel, Short videos, People also ask, Recipes",102
easy chili colorado recipe,Informational,480,"0.81,0.81,0.81,1.00,0.81,1.00,0.81,1.00,0.81,0.67,0.54,0.54",19,0.30,0.02,"Sitelinks, Video, Video carousel, People also ask, Recipes, Related searches",107
easy pancake recipe without baking powder or soda,Informational,480,"1.00,1.00,1.00,1.00,0.81,0.66,0.66,0.81,1.00,0.81,0.81,0.81",14,1.18,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",122
easy whole30 recipes,Informational,480,"0.33,0.42,0.33,0.67,0.83,0.67,0.42,0.42,1.00,0.29,0.29,0.21",14,0.56,0.69,"Video, Recipes, Related searches",110
easy shot recipes,Informational,390,"1.00,0.81,1.00,0.81,0.67,0.81,0.67,1.00,0.67,0.54,0.54,0.67",15,0.58,0.28,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask, Recipes, Related searches",161000000
