Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
dinner recipe ideas for two,Informational,5400,"0.00,0.00,0.00,0.44,0.36,0.00,0.00,0.03,1.00,0.00,0.00,0.04",29,0.13,0.52,"Sitelinks, AI Overview, Video, Video carousel, Recipes, Related searches",149
healthy dinner ideas for two,Informational,2400,"0.45,0.45,0.45,0.34,0.55,0.45,0.17,0.10,1.00,0.24,0.34,0.45",14,0.15,0.53,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Recipes, Related searches",140
easy meal ideas for two,Informational,1300,"0.16,0.22,1.00,0.08,0.43,0.20,0.08,0.08,0.10,0.22,0.13,0.54",28,0.17,0.58,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",131
simple healthy dinner ideas for two,Informational,1300,"1.00,0.46,1.00,0.10,0.06,0.68,0.84,0.13,0.16,0.38,0.25,0.38",26,0.43,0.50,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",140
romantic dinner ideas for two at home,Informational,720,"0.72,0.72,0.59,0.59,0.59,0.72,0.88,0.72,0.88,0.59,1.00,0.88",26,0.06,0.36,"AI Overview, Image, Video, People also ask, Recipes, Related searches",156
easy healthy dinner ideas for two,Informational,590,"0.44,0.44,0.44,0.56,0.28,0.56,0.28,0.14,0.28,0.36,1.00,0.28",26,0.43,0.50,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Discussions and forums, Related searches",467000000
chicken dinner ideas for two,Informational,480,"0.83,0.44,0.83,0.44,1.00,0.36,0.56,0.28,1.00,0.67,1.00,0.56",29,0.10,0.46,"Sitelinks, Image, Video, Video carousel, Recipes, Related searches",110
ideas for two truths and a lie,Informational,480,"0.13,0.13,0.13,0.69,1.00,0.13,0.10,0.19,0.46,0.13,0.10,0.46",29,0.02,0.17,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask, Related searches",18300000
romantic dinner ideas for two,Informational,480,"0.08,0.07,0.16,0.08,0.08,0.13,0.10,0.10,0.13,0.24,1.00,0.54",22,0.05,0.39,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",156
good ideas for two truths and a lie,Informational,320,"0.35,0.54,0.66,1.00,0.66,0.66,0.54,0.43,1.00,0.66,0.81,0.81",16,0.02,0.12,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches",150
yummy dinner ideas for two,Informational,320,"0.82,1.00,0.82,0.82,1.00,0.66,0.53,0.53,0.66,0.66,0.66,0.82",28,0.12,0.42,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",147
fast healthy dinner ideas for two,Informational,260,"1.00,0.81,0.23,0.23,0.54,0.81,0.44,0.44,0.81,0.54,0.81,0.81",28,0.33,0.52,"Image, Video, Recipes, Related searches, Ads bottom",379000000
quick healthy dinner ideas for two,Informational,260,"0.81,0.67,0.53,0.81,0.67,0.81,0.43,0.67,0.81,0.53,0.81,1.00",20,0.15,0.55,"AI Overview, Video, Video carousel, Recipes, Related searches",147
thanksgiving for two ideas,Informational,260,"0.01,0.00,0.00,0.00,0.02,0.10,1.00,0.00,0.00,0.00,0.00,0.00",27,0.08,0.24,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",131
